NAME                                                                          VERSION                                              TYPE         
docker-ce-cli                                                                 5:20.10.22~3-0~ubuntu-jammy                          deb           
dot-prop                                                                      4.2.1                                                npm           
dotenv                                                                        5.0.1                                                npm           
dpkg                                                                          1.21.1ubuntu2.1                                      deb           
dpkg-dev                                                                      1.21.1ubuntu2.1                                      deb           
dulwich                                                                       0.20.50                                              python        
dumb-init                                                                     1.2.5-2                                              deb           
duplexer3                                                                     0.1.4                                                npm           
duplexify                                                                     3.6.0                                                npm           
e2fsprogs                                                                     1.46.5-2ubuntu1.1                                    deb           
ecc-jsbn                                                                      0.1.2                                                npm           
editor                                                                        1.0.0                                                npm           
emoji-regex                                                                   7.0.3                                                npm           
emoji-regex                                                                   8.0.0                                                npm           
encoding                                                                      0.1.12                                               npm           
encoding                                                                      0.1.13                                               npm           
end-of-stream                                                                 1.4.1                                                npm           
env-paths                                                                     2.2.0                                                npm           
env-paths                                                                     2.2.1                                                npm           
err-code                                                                      1.1.2                                                npm           
err-code                                                                      2.0.3                                                npm           
errno                                                                         0.1.7                                                npm           
es-abstract                                                                   1.12.0                                               npm           
es-to-primitive                                                               1.2.0                                                npm           
es6-promise                                                                   4.2.8                                                npm           
es6-promisify                                                                 5.0.0                                                npm           
escape-string-regexp                                                          1.0.5                                                npm           
execa                                                                         0.7.0                                                npm           
extend                                                                        3.0.2                                                npm           
extsprintf                                                                    1.3.0                                                npm           
fast-deep-equal                                                               3.1.3                                                npm           
fast-json-stable-stringify                                                    2.0.0                                                npm           
fastest-levenshtein                                                           1.0.12                                               npm           
figgy-pudding                                                                 3.5.1                                                npm           
filelock                                                                      3.9.0                                                python        
find-npm-prefix                                                               1.0.2                                                npm           
find-up                                                                       3.0.0                                                npm           
findutils                                                                     4.8.0-1ubuntu3                                       deb           
flush-write-stream                                                            1.0.3                                                npm           
forever-agent                                                                 0.6.1                                                npm           
form-data                                                                     2.3.2                                                npm           
from2                                                                         1.3.0                                                npm           
from2                                                                         2.3.0                                                npm           
fs-minipass                                                                   1.2.7                                                npm           
fs-minipass                                                                   2.1.0                                                npm           
fs-vacuum                                                                     1.2.10                                               npm           
fs-write-stream-atomic                                                        1.0.10                                               npm           
fs.realpath                                                                   1.0.0                                                npm           
function-bind                                                                 1.1.1                                                npm           
g++                                                                           4:11.2.0-1ubuntu1                                    deb           
g++-11                                                                        11.3.0-1ubuntu1~22.04                                deb           
gauge                                                                         2.7.4                                                npm           
gauge                                                                         3.0.1                                                npm           
gcc                                                                           4:11.2.0-1ubuntu1                                    deb           
gcc-11                                                                        11.3.0-1ubuntu1~22.04                                deb           
gcc-11-base                                                                   11.3.0-1ubuntu1~22.04                                deb           
gcc-12-base                                                                   12.1.0-2ubuntu1~22.04                                deb           
genfun                                                                        5.0.0                                                npm           
gentle-fs                                                                     2.3.1                                                npm           
get-caller-file                                                               2.0.5                                                npm           
get-stream                                                                    3.0.0                                                npm           
get-stream                                                                    4.1.0                                                npm           
getpass                                                                       0.1.7                                                npm           
gettext                                                                                                                            java-archive  
gettext                                                                       0.21-4ubuntu4                                        deb           
gettext-base                                                                  0.21-4ubuntu4                                        deb           
gh                                                                            2.21.2                                               deb           
gir1.2-glib-2.0                                                               1.72.0-1                                             deb           
gir1.2-packagekitglib-1.0                                                     1.2.5-2ubuntu2                                       deb           
git                                                                           1:2.39.0-0ppa1~ubuntu22.04.1                         deb           
git-man                                                                       1:2.39.0-0ppa1~ubuntu22.04.1                         deb           
github.com/AlecAivazis/survey/v2                                              v2.3.6                                               go-module     
github.com/Azure/go-autorest/autorest                                         v0.11.24                                             go-module     
github.com/Azure/go-autorest/autorest/adal                                    v0.9.18                                              go-module     
github.com/Azure/go-autorest/autorest/date                                    v0.3.0                                               go-module     
github.com/Azure/go-autorest/logger                                           v0.2.1                                               go-module     
github.com/Azure/go-autorest/tracing                                          v0.6.0                                               go-module     
github.com/MakeNowJust/heredoc                                                v1.0.0                                               go-module     
github.com/Microsoft/hcsshim                                                  v0.9.6                                               go-module     
github.com/agext/levenshtein                                                  v1.2.3                                               go-module     
github.com/agl/ed25519                                                        v0.0.0-20170116200512-5312a6153412                   go-module     
github.com/alecthomas/chroma                                                  v0.10.0                                              go-module     
github.com/apparentlymart/go-cidr                                             v1.0.1                                               go-module     
github.com/apparentlymart/go-textseg/v12                                      v12.0.0                                              go-module     
github.com/apparentlymart/go-textseg/v13                                      v13.0.0                                              go-module     
github.com/aymerick/douceur                                                   v0.2.0                                               go-module     
github.com/beorn7/perks                                                       v1.0.1                                               go-module     
github.com/blang/semver                                                       v3.5.1+incompatible                                  go-module     
github.com/briandowns/spinner                                                 v1.18.1                                              go-module     
github.com/cenkalti/backoff/v4                                                v4.1.2                                               go-module     
github.com/cenkalti/backoff/v4                                                v4.1.3                                               go-module     
github.com/cespare/xxhash/v2                                                  v2.1.2                                               go-module     
