NAME                                                                          VERSION                                              TYPE         
json-parse-even-better-errors                                                 2.3.1                                                npm           
json-schema                                                                   0.2.3                                                npm           
json-schema-traverse                                                          0.4.1                                                npm           
json-stringify-nice                                                           1.1.4                                                npm           
json-stringify-safe                                                           5.0.1                                                npm           
jsonparse                                                                     1.3.1                                                npm           
jsonschema                                                                    4.17.3                                               python        
jsprim                                                                        1.4.1                                                npm           
just-diff                                                                     3.1.1                                                npm           
just-diff-apply                                                               3.0.0                                                npm           
k8s.io/api                                                                    v0.22.4                                              go-module     
k8s.io/api                                                                    v0.22.5                                              go-module     
k8s.io/apimachinery                                                           v0.22.4                                              go-module     
k8s.io/apimachinery                                                           v0.22.5                                              go-module     
k8s.io/apiserver                                                              v0.22.5                                              go-module     
k8s.io/client-go                                                              v0.22.4                                              go-module     
k8s.io/client-go                                                              v0.22.5                                              go-module     
k8s.io/component-base                                                         v0.22.5                                              go-module     
k8s.io/cri-api                                                                v0.25.0                                              go-module     
k8s.io/klog/v2                                                                v2.30.0                                              go-module     
k8s.io/utils                                                                  v0.0.0-20210930125809-cb0fa318a74b                   go-module     
keyring                                                                       23.13.1                                              python        
keyring                                                                       23.5.0                                               python        
latest-version                                                                3.1.0                                                npm           
launchpadlib                                                                  1.10.16                                              python        
lazr.restfulclient                                                            0.14.4                                               python        
lazr.uri                                                                      1.0.6                                                python        
lazy-property                                                                 1.0.0                                                npm           
libacl1                                                                       2.3.1-1                                              deb           
libapparmor1                                                                  3.0.4-2ubuntu2.1                                     deb           
libappstream4                                                                 0.15.2-2                                             deb           
libapt-pkg6.0                                                                 2.4.8                                                deb           
libarchive13                                                                  3.6.0-1ubuntu1                                       deb           
libargon2-1                                                                   0~20171227-0.3                                       deb           
libasan6                                                                      11.3.0-1ubuntu1~22.04                                deb           
libassuan0                                                                    2.5.5-1build1                                        deb           
libatomic1                                                                    12.1.0-2ubuntu1~22.04                                deb           
libattr1                                                                      1:2.5.1-1build1                                      deb           
libaudit-common                                                               1:3.0.7-1build1                                      deb           
libaudit1                                                                     1:3.0.7-1build1                                      deb           
libavahi-client3                                                              0.8-5ubuntu5                                         deb           
libavahi-common-data                                                          0.8-5ubuntu5                                         deb           
libavahi-common3                                                              0.8-5ubuntu5                                         deb           
libavahi-glib1                                                                0.8-5ubuntu5                                         deb           
libbinutils                                                                   2.38-4ubuntu2.1                                      deb           
libblkid1                                                                     2.37.2-4ubuntu3                                      deb           
libbrotli1                                                                    1.0.9-2build6                                        deb           
libbsd0                                                                       0.11.5-1                                             deb           
libbz2-1.0                                                                    1.0.8-5build1                                        deb           
libc-ares2                                                                    1.18.1-1build1                                       deb           
libc-bin                                                                      2.35-0ubuntu3.1                                      deb           
libc-dev-bin                                                                  2.35-0ubuntu3.1                                      deb           
libc6                                                                         2.35-0ubuntu3.1                                      deb           
libc6-dev                                                                     2.35-0ubuntu3.1                                      deb           
libcap-ng0                                                                    0.7.9-2.2build3                                      deb           
libcap2                                                                       1:2.44-1build3                                       deb           
libcap2-bin                                                                   1:2.44-1build3                                       deb           
libcbor0.8                                                                    0.8.0-2ubuntu1                                       deb           
libcc1-0                                                                      12.1.0-2ubuntu1~22.04                                deb           
libcipm                                                                       4.0.8                                                npm           
libcom-err2                                                                   1.46.5-2ubuntu1.1                                    deb           
libcrypt-dev                                                                  1:4.4.27-1                                           deb           
libcrypt1                                                                     1:4.4.27-1                                           deb           
libcryptsetup12                                                               2:2.4.3-1ubuntu1.1                                   deb           
libctf-nobfd0                                                                 2.38-4ubuntu2.1                                      deb           
libctf0                                                                       2.38-4ubuntu2.1                                      deb           
libcurl3-gnutls                                                               7.81.0-1ubuntu1.7                                    deb           
libcurl4                                                                      7.81.0-1ubuntu1.7                                    deb           
libcurl4-openssl-dev                                                          7.81.0-1ubuntu1.7                                    deb           
libdb5.3                                                                      5.3.28+dfsg1-0.8ubuntu3                              deb           
libdbus-1-3                                                                   1.12.20-2ubuntu4.1                                   deb           
libdconf1                                                                     0.40.0-3                                             deb           
libdebconfclient0                                                             0.261ubuntu1                                         deb           
libdevmapper1.02.1                                                            2:1.02.175-2.1ubuntu4                                deb           
libdpkg-perl                                                                  1.21.1ubuntu2.1                                      deb           
libdw1                                                                        0.186-1build1                                        deb           
libedit2                                                                      3.1-20210910-1build1                                 deb           
libelf1                                                                       0.186-1build1                                        deb           
liberror-perl                                                                 0.17029-1                                            deb           
libexpat1                                                                     2.4.7-1ubuntu0.2                                     deb           
libext2fs2                                                                    1.46.5-2ubuntu1.1                                    deb           
libffi8                                                                       3.4.2-4                                              deb           
libfido2-1                                                                    1.10.0-1                                             deb           
libgcc-11-dev                                                                 11.3.0-1ubuntu1~22.04                                deb           
libgcc-s1                                                                     12.1.0-2ubuntu1~22.04                                deb           
libgcrypt20                                                                   1.9.4-3ubuntu3                                       deb           
libgdbm-compat4                                                               1.23-1                                               deb           
libgdbm6                                                                      1.23-1                                               deb           
libgirepository-1.0-1                                                         1.72.0-1                                             deb           
libglib2.0-0                                                                  2.72.4-0ubuntu1                                      deb           
libglib2.0-bin                                                                2.72.4-0ubuntu1                                      deb           
libglib2.0-data                                                               2.72.4-0ubuntu1                                      deb           
libgmp10                                                                      2:6.2.1+dfsg-3ubuntu1                                deb           
libgnutls30                                                                   3.7.3-4ubuntu1.1                                     deb           
libgomp1                                                                      12.1.0-2ubuntu1~22.04                                deb           
libgpg-error0                                                                 1.43-3                                               deb           
libgpgme11                                                                    1.16.0-1.2ubuntu4                                    deb           
libgssapi-krb5-2                                                              1.19.2-2                                             deb           
libgstreamer1.0-0                                                             1.20.3-0ubuntu1                                      deb           
libhogweed6                                                                   3.7.3-1build2                                        deb           
libicu70                                                                      70.1-2                                               deb           
libidn2-0                                                                     2.3.2-2build1                                        deb           
libintl                                                                       0.21                                                 java-archive  
libip4tc2                                                                     1.8.7-1ubuntu5                                       deb           
libip6tc2                                                                     1.8.7-1ubuntu5                                       deb           
libisl23                                                                      0.24-2build1                                         deb           
libitm1                                                                       12.1.0-2ubuntu1~22.04                                deb           
libjq1                                                                        1.6-2.1ubuntu3                                       deb           
libjson-c5                                                                    0.15-3~ubuntu1.22.04.1                               deb           
libk5crypto3                                                                  1.19.2-2                                             deb           
libkeyutils1                                                                  1.6.1-2ubuntu3                                       deb           
libkmod2                                                                      29-1ubuntu1                                          deb           
libkrb5-3                                                                     1.19.2-2                                             deb           
libkrb5support0                                                               1.19.2-2                                             deb           
libksba8                                                                      1.6.0-2ubuntu0.2                                     deb           
libldap-2.5-0                                                                 2.5.13+dfsg-0ubuntu0.22.04.1                         deb           
liblsan0                                                                      12.1.0-2ubuntu1~22.04                                deb           
liblttng-ust-common1                                                          2.13.1-1ubuntu1                                      deb           
liblttng-ust-ctl5                                                             2.13.1-1ubuntu1                                      deb           
liblttng-ust1                                                                 2.13.1-1ubuntu1                                      deb           
liblz4-1                                                                      1.9.3-2build2                                        deb           
liblzma5                                                                      5.2.5-2ubuntu1                                       deb           
libmd0                                                                        1.0.4-1build1                                        deb           
libmnl0                                                                       1.0.4-3build2                                        deb           
libmount1                                                                     2.37.2-4ubuntu3                                      deb           
libmpc3                                                                       1.2.1-2build1                                        deb           
libmpdec3                                                                     2.5.1-2build2                                        deb           
libmpfr6                                                                      4.1.0-3build3                                        deb           
libncurses6                                                                   6.3-2                                                deb           
libncursesw6                                                                  6.3-2                                                deb           
libnetfilter-conntrack3                                                       1.0.9-1                                              deb           
libnettle8                                                                    3.7.3-1build2                                        deb           
libnfnetlink0                                                                 1.0.1-3build3                                        deb           
libnftnl11                                                                    1.2.1-1build1                                        deb           
libnghttp2-14                                                                 1.43.0-1build3                                       deb           
libnode72                                                                     12.22.9~dfsg-1ubuntu3                                deb           
libnpm                                                                        3.0.1                                                npm           
libnpmaccess                                                                  3.0.2                                                npm           
libnpmaccess                                                                  4.0.3                                                npm           
libnpmconfig                                                                  1.2.1                                                npm           
libnpmdiff                                                                    2.0.4                                                npm           
libnpmexec                                                                    3.0.1                                                npm           
libnpmfund                                                                    2.0.1                                                npm           
libnpmhook                                                                    5.0.3                                                npm           
libnpmhook                                                                    6.0.3                                                npm           
libnpmorg                                                                     1.0.1                                                npm           
libnpmorg                                                                     2.0.3                                                npm           
libnpmpack                                                                    3.0.0                                                npm           
libnpmpublish                                                                 1.1.2                                                npm           
libnpmpublish                                                                 4.0.2                                                npm           
libnpmsearch                                                                  2.0.2                                                npm           
libnpmsearch                                                                  3.1.2                                                npm           
libnpmteam                                                                    1.0.2                                                npm           
libnpmteam                                                                    2.0.4                                                npm           
libnpmversion                                                                 2.0.1                                                npm           
libnpth0                                                                      1.6-3build2                                          deb           
libnpx                                                                        10.2.4                                               npm           
libnsl-dev                                                                    1.3.0-2build2                                        deb           
libnsl2                                                                       1.3.0-2build2                                        deb           
libnuma1                                                                      2.0.14-3ubuntu2                                      deb           
libonig5                                                                      6.9.7.1-2build1                                      deb           
libostree-1-1                                                                 2022.2-3                                             deb           
libp11-kit0                                                                   0.24.0-6build1                                       deb           
libpackagekit-glib2-18                                                        1.2.5-2ubuntu2                                       deb           
libpam-modules                                                                1.4.0-11ubuntu2                                      deb           
libpam-modules-bin                                                            1.4.0-11ubuntu2                                      deb           
libpam-runtime                                                                1.4.0-11ubuntu2                                      deb           
libpam-systemd                                                                249.11-0ubuntu3.6                                    deb           
libpam0g                                                                      1.4.0-11ubuntu2                                      deb           
libpcre2-8-0                                                                  10.39-3ubuntu0.1                                     deb           
libpcre3                                                                      2:8.39-13ubuntu0.22.04.1                             deb           
libperl5.34                                                                   5.34.0-3ubuntu1.1                                    deb           
libpolkit-agent-1-0                                                           0.105-33                                             deb           
libpolkit-gobject-1-0                                                         0.105-33                                             deb           
libpopt0                                                                      1.18-3build1                                         deb           
libprocps8                                                                    2:3.3.17-6ubuntu2                                    deb           
libproxy1v5                                                                   0.4.17-2                                             deb           
libpsl5                                                                       0.21.0-1.2build2                                     deb           
libpython3-stdlib                                                             3.10.6-1~22.04                                       deb           
libpython3.10-minimal                                                         3.10.6-1~22.04.2                                     deb           
libpython3.10-stdlib                                                          3.10.6-1~22.04.2                                     deb           
libquadmath0                                                                  12.1.0-2ubuntu1~22.04                                deb           
libreadline8                                                                  8.1.2-1                                              deb           
librtmp1                                                                      2.4+20151223.gitfa8646d.1-2build4                    deb           
libsasl2-2                                                                    2.1.27+dfsg2-3ubuntu1.1                              deb           
libsasl2-modules-db                                                           2.1.27+dfsg2-3ubuntu1.1                              deb           
libseccomp2                                                                   2.5.3-2ubuntu2                                       deb           
libselinux1                                                                   3.3-1build2                                          deb           
libsemanage-common                                                            3.3-1build2                                          deb           
libsemanage2                                                                  3.3-1build2                                          deb           
libsepol2                                                                     3.3-1build1                                          deb           
libsmartcols1                                                                 2.37.2-4ubuntu3                                      deb           
libsoup2.4-1                                                                  2.74.2-3                                             deb           
libsoup2.4-common                                                             2.74.2-3                                             deb           
libsqlite3-0                                                                  3.37.2-2ubuntu0.1                                    deb           
libss2                                                                        1.46.5-2ubuntu1.1                                    deb           
libssh-4                                                                      0.9.6-2build1                                        deb           
libssl3                                                                       3.0.2-0ubuntu1.7                                     deb           
libstdc++-11-dev                                                              11.3.0-1ubuntu1~22.04                                deb           
libstdc++6                                                                    12.1.0-2ubuntu1~22.04                                deb           
libstemmer0d                                                                  2.2.0-1build1                                        deb           
libsystemd0                                                                   249.11-0ubuntu3.6                                    deb           
libtasn1-6                                                                    4.18.0-4build1                                       deb           
libtinfo6                                                                     6.3-2                                                deb           
libtirpc-common                                                               1.3.2-2ubuntu0.1                                     deb           
libtirpc-dev                                                                  1.3.2-2ubuntu0.1                                     deb           
libtirpc3                                                                     1.3.2-2ubuntu0.1                                     deb           
libtsan0                                                                      11.3.0-1ubuntu1~22.04                                deb           
libubsan1                                                                     12.1.0-2ubuntu1~22.04                                deb           
libudev1                                                                      249.11-0ubuntu3.6                                    deb           
libunistring2                                                                 1.0-1                                                deb           
libunwind8                                                                    1.3.2-2build2                                        deb           
libuuid1                                                                      2.37.2-4ubuntu3                                      deb           
libuv1                                                                        1.43.0-1                                             deb           
libxml2                                                                       2.9.13+dfsg-1ubuntu0.2                               deb           
libxmlb2                                                                      0.3.6-2build1                                        deb           
libxtables12                                                                  1.8.7-1ubuntu5                                       deb           
libxxhash0                                                                    0.8.1-1                                              deb           
libyajl2                                                                      2.1.0-3build2                                        deb           
libyaml-0-2                                                                   0.2.2-1build2                                        deb           
libzstd1                                                                      1.4.8+dfsg-3build1                                   deb           
linux-libc-dev                                                                5.15.0-58.64                                         deb           
locales                                                                       2.35-0ubuntu3.1                                      deb           
locate-path                                                                   3.0.0                                                npm           
lock-verify                                                                   2.1.0                                                npm           
lockfile                                                                      0.12.2                                               python        
lockfile                                                                      1.0.4                                                npm           
lodash._baseindexof                                                           3.1.0                                                npm           
lodash._baseuniq                                                              4.6.0                                                npm           
lodash._bindcallback                                                          3.0.1                                                npm           
lodash._cacheindexof                                                          3.0.2                                                npm           
lodash._createcache                                                           3.1.2                                                npm           
lodash._createset                                                             4.0.3                                                npm           
lodash._getnative                                                             3.9.1                                                npm           
lodash._root                                                                  3.0.1                                                npm           
lodash.clonedeep                                                              4.5.0                                                npm           
lodash.restparam                                                              3.6.1                                                npm           
lodash.union                                                                  4.6.0                                                npm           
lodash.uniq                                                                   4.5.0                                                npm           
lodash.without                                                                4.4.0                                                npm           
login                                                                         1:4.8.1-2ubuntu2.1                                   deb           
logsave                                                                       1.46.5-2ubuntu1.1                                    deb           
lowercase-keys                                                                1.0.1                                                npm           
lru-cache                                                                     4.1.5                                                npm           
lru-cache                                                                     5.1.1                                                npm           
lru-cache                                                                     6.0.0                                                npm           
lsb-base                                                                      11.1.0ubuntu4                                        deb           
lsb-release                                                                   11.1.0ubuntu4                                        deb           
lto-disabled-list                                                             24                                                   deb           
make                                                                          4.3-4.1build1                                        deb           
make-dir                                                                      1.3.0                                                npm           
make-fetch-happen                                                             5.0.2                                                npm           
make-fetch-happen                                                             8.0.14                                               npm           
make-fetch-happen                                                             9.1.0                                                npm           
mawk                                                                          1.3.4.20200120-3                                     deb           
meant                                                                         1.0.2                                                npm           
media-types                                                                   7.0.0                                                deb           
mime-db                                                                       1.35.0                                               npm           
mime-types                                                                    2.1.19                                               npm           
minimatch                                                                     3.0.4                                                npm           
minimist                                                                      1.2.5                                                npm           
minipass                                                                      2.9.0                                                npm           
minipass                                                                      3.1.5                                                npm           
minipass-collect                                                              1.0.2                                                npm           
minipass-fetch                                                                1.4.1                                                npm           
minipass-flush                                                                1.0.5                                                npm           
minipass-json-stream                                                          1.0.1                                                npm           
minipass-pipeline                                                             1.2.4                                                npm           
minipass-sized                                                                1.0.3                                                npm           
minizlib                                                                      1.3.3                                                npm           
minizlib                                                                      2.1.2                                                npm           
mississippi                                                                   3.0.0                                                npm           
mkdirp                                                                        0.5.5                                                npm           
mkdirp                                                                        1.0.4                                                npm           
mkdirp-infer-owner                                                            2.0.0                                                npm           
more-itertools                                                                8.10.0                                               python        
more-itertools                                                                9.0.0                                                python        
mount                                                                         2.37.2-4ubuntu3                                      deb           
move-concurrently                                                             1.0.1                                                npm           
ms                                                                            2.0.0                                                npm           
ms                                                                            2.1.1                                                npm           
ms                                                                            2.1.2                                                npm           
ms                                                                            2.1.3                                                npm           
msgpack                                                                       1.0.4                                                python        
mute-stream                                                                   0.0.7                                                npm           
mute-stream                                                                   0.0.8                                                npm           
ncurses-base                                                                  6.3-2                                                deb           
ncurses-bin                                                                   6.3-2                                                deb           
negotiator                                                                    0.6.2                                                npm           
netbase                                                                       6.3                                                  deb           
node-fetch-npm                                                                2.0.2                                                npm           
node-gyp                                                                      5.1.0                                                npm           
node-gyp                                                                      8.2.0                                                npm           
nodejs                                                                        12.22.9~dfsg-1ubuntu3                                deb           
nopt                                                                          4.0.3                                                npm           
nopt                                                                          5.0.0                                                npm           
normalize-package-data                                                        2.5.0                                                npm           
normalize-package-data                                                        3.0.3                                                npm           
npm                                                                           6.14.15                                              npm           
npm                                                                           8.1.0                                                npm           
npm-audit-report                                                              1.3.3                                                npm           
npm-audit-report                                                              2.1.5                                                npm           
npm-bundled                                                                   1.1.1                                                npm           
npm-bundled                                                                   1.1.2                                                npm           
npm-cache-filename                                                            1.0.2                                                npm           
npm-cli-docs                                                                  0.1.0                                                npm           
npm-init                                                                      0.0.0                                                npm           
npm-install-checks                                                            3.0.2                                                npm           
npm-install-checks                                                            4.0.0                                                npm           
